	speaker	domain	language
12658	qvspzs	dengan tetangga	krama madya
12660	qvspzs	apabila marah	ngoko
12662	qvspzs	berhitung	ngoko
12663	qvspzs	kirim sms ke keluarga	ngoko
12664	qvspzs	kirim sms ke keluarga	krama madya
12665	qvspzs	kirim sms ke teman	ngoko
12667	qvspzs	dalam jejaring sosial (fb)	indonesia
12668	qvspzs	berdoa dalam hati	indonesia
12669	qvspzs	berdoa dalam hati	jawa
12670	qvspzs	berdoa di tempat ibadah	arab
12671	qvspzs	di rumah	jawa
12673	qvspzs	di pasar	jawa
12674	qvspzs	di warung	jawa
12675	qvspzs	di bank	indonesia
12677	qvspzs	di sd dengan guru	indonesia
12678	qvspzs	di sd dengan teman sekelas	jawa
12679	qvspzs	di sma dengan guru	indonesia
12680	qvspzs	di sma dengan teman sekelas	jawa
12681	qvspzs	di kendaraan umum	jawa
12682	qvspzs	membaca novel/buku cerita	indonesia
12683	qvspzs	membaca koran	indonesia
12684	qvspzs	membaca majalah	indonesia
12685	qvspzs	membaca majalah	jawa
12686	qvspzs	mendengar musik	indonesia
12687	qvspzs	mendengar musik	inggris
12688	qvspzs	mendengar radio	indonesia
12689	qvspzs	mendengar radio	jawa
12690	qvspzs	mendengar radio	inggris
12691	qvspzs	menonton tv	indonesia
12692	qvspzs	menonton tv	jawa
12693	vggktu	dengan ibu	jawa
12694	vggktu	dengan bapak	jawa
12695	vggktu	dengan kakak/adik	jawa
12696	vggktu	dengan nenek dan kakek	jawa
12698	vggktu	dengan sanak saudara (tante, om, sepupu, dll)	jawa
12699	vggktu	dengan tetangga	jawa
12700	vggktu	dengan pembantu	jawa
12701	vggktu	apabila marah	jawa
12702	vggktu	dalam mimpi	indonesia
12703	vggktu	berhitung	indonesia
12704	vggktu	kirim sms ke keluarga	indonesia
12705	vggktu	kirim sms ke teman	indonesia
12707	vggktu	dalam jejaring sosial (fb)	indonesia
12708	vggktu	berdoa dalam hati	arab
12709	vggktu	berdoa di tempat ibadah	arab
12710	vggktu	di rumah	jawa
12711	vggktu	di tempat kerja	indonesia
12712	vggktu	di pasar	indonesia
12713	vggktu	di warung	jawa
12714	vggktu	di bank	indonesia
12715	vggktu	di kantor pos	indonesia
12716	vggktu	di sd dengan guru	indonesia
12717	vggktu	di sd dengan teman sekelas	jawa
12718	vggktu	di sma dengan guru	indonesia
12719	vggktu	di sma dengan teman sekelas	indonesia
12720	vggktu	di kendaraan umum	jawa
12721	vggktu	membaca novel/buku cerita	indonesia
12722	vggktu	membaca koran	indonesia
12723	vggktu	membaca majalah	indonesia
12724	vggktu	membaca majalah	jawa
12725	vggktu	mendengar musik	indonesia
12726	vggktu	mendengar musik	jawa
12727	vggktu	mendengar musik	inggris
12728	vggktu	mendengar radio	indonesia
12729	vggktu	mendengar radio	jawa
12730	vggktu	menonton tv	indonesia
12731	vggktu	menonton tv	jawa
12732	gmaxrs	dengan ibu	jawa
12733	gmaxrs	dengan bapak	jawa
12734	gmaxrs	dengan kakak/adik	jawa
12735	gmaxrs	dengan nenek dan kakek	jawa
12737	gmaxrs	dengan sanak saudara (tante, om, sepupu, dll)	indonesia
12738	gmaxrs	dengan sanak saudara (tante, om, sepupu, dll)	jawa
12739	gmaxrs	dengan tetangga	jawa
12740	gmaxrs	dengan pembantu	jawa
12741	gmaxrs	apabila marah	indonesia
12742	gmaxrs	apabila marah	jawa
12743	gmaxrs	dalam mimpi	indonesia
12744	gmaxrs	dalam mimpi	jawa
12745	gmaxrs	berhitung	indonesia
12746	gmaxrs	berhitung	jawa
12747	gmaxrs	kirim sms ke keluarga	indonesia
12748	gmaxrs	kirim sms ke keluarga	jawa
12749	gmaxrs	kirim sms ke teman	indonesia
12750	gmaxrs	kirim sms ke teman	jawa
12751	gmaxrs	kirim sms ke suami/istri 	indonesia
12752	gmaxrs	kirim sms ke suami/istri 	jawa
12753	gmaxrs	dalam jejaring sosial (fb)	indonesia
12754	gmaxrs	berdoa dalam hati	indonesia
12756	gmaxrs	di rumah	jawa
12757	gmaxrs	di tempat kerja	indonesia
