"Bali-Undiksha-December-2013","FHATZW","140225173958763145874160","1995","Bali - Peliatan, Ubud","Perempuan","Orang tua"
"Bali-Undiksha-December-2013","UMLXMC","140407113613765073087857","1994","Bali - Kabupaten Buleleng","Perempuan","Orang tua"
"Bali-Undiksha-December-2013","PUGNWG","140408001121630532160587","1995","Bali - Kabupaten Tabanan","Perempuan","Orang Tua"
"Bali-Undiksha-December-2013","UPYPND","140408031451781141695379","1995"," Bali - Kabupaten Tabanan","Laki","orang tua"
"Bali-Undiksha-December-2013","VPDKYA","140408032627276525519834","1994","Bali - Kabupaten Tabanan","Perempuan","Kedua ortu"
"Bali-Undiksha-December-2013","UUSXXV","140408034118607633013603","1995","Bali - Kabupaten Buleleng","Laki","Orang tua"
"Bali-Undiksha-December-2013","FDNWAB","140408034920159488699492","1995","Bali - Kabupaten Buleleng","Perempuan","Orangtua"
"Bali-Undiksha-December-2013","QLVQCI","140409000720356342625291","1994"," Bali - Kabupaten Klungkung","Perempuan","Orangtua"
"Bali-Undiksha-December-2013","BCNQJA","140409012226375491249886","1995","Bali - Kabupaten Bangli","Perempuan","Orang tua"
"Bali-Undiksha-December-2013","USFHIC","140409013228350592208886","1995","Bali - Kabupaten Bangli","Perempuan","Orang tua"
"Bali-Undiksha-December-2013","YMZVRF","140409015929666525738825","1995","Bali - Kabupaten Bangli","Laki","Kedua orang tua"
"Bali-Undiksha-December-2013","KZYUKO","140409021111350692645040","1994","Bali - Kabupaten Jembrana","Laki","orang tua"
"Bali-Undiksha-December-2013","SLYEAX","140409032719748281126282","1995","Bali - Kabupaten Bangli","Laki",""
"Bali-Undiksha-December-2013","IQVDTT","140409033719425745721906","1995","Bali - Kabupaten Badung","Perempuan","orang tua"
"Bali-Undiksha-December-2013","RIHFNT","140409035019781746663431","1995"," Bali - Kabupaten Badung","Laki","Orang tua"
"Bali-Undiksha-December-2013","GJGENE","140409115943103922673687","1994","Bali - Kabupaten Karangasem","Perempuan","Orang Tua"
"Bali-Undiksha-December-2013","EBKRLJ","140409211002268476207647","1995","Bali - Singaraja","Perempuan","Orang tua"
"Bali-Undiksha-December-2013","YCTHWR","140409214437362083634268","","Bali - Negara","Laki","orang tua"
"Bali-Undiksha-December-2013","MJRPFX","140409215606457543577160","1995","Bali - SINGARAJA","Perempuan","ORANG TUA"
"Bali-Undiksha-December-2013","BEDUCF","140409220808259026191429","1995","Bali - Kabupaten Buleleng","Laki","ORANG TUA"
"Bali-Undiksha-December-2013","AYSGGI","140409222819118604149157","1995","Bali - Kabupaten Buleleng","Perempuan","ORANG TUA"
"Bali-Undiksha-December-2013","YMPHSK","140409225414914271270669","194","Bali - Kabupaten Buleleng","Perempuan","ORANG TUA DAN KAKEK NENEK"
"Bali-Undiksha-December-2013","ATSRZH","140409232253239471293473","1995","Bali - Kabupaten Gianyar","Laki","ORANG TUA"
"Ternate-Kairun-June- 2013","TTNETP","140510141556285634895507","1977","Maluku Utara - Kota Ternate","Perempuan","Orang Tua"
"Ternate-Kairun-June- 2013","QVTVEC","140510204838903380784158","1987"," Maluku Utara - Kota Ternate","Laki","Orang tua"
"Ternate-Kairun-June- 2013","KGKWOU","140510234907974202363657","1964","Maluku Utara - Makyan","Laki","Keluarga"
"Ternate-Kairun-June- 2013","XQJVFM","140511001603734191071194","1981","Maluku Utara - Kota Ternate","Perempuan","Orang tua"
"Ternate-Kairun-June- 2013","TWGBKI","140511010511358219863986","1976","Maluku Utara - Kota Ternate","Perempuan","Orang tua"
"Ternate-Kairun-June- 2013","QDBURI","140511011938383287651557","1984","Maluku Utara - Kabupaten Kepulauan Sula","Perempuan","Kedua orang tua"
"Ternate-Kairun-June- 2013","ICZSAT","140513213038234170625684","1967","Maluku Utara - Kota Ternate","Perempuan","orang tua"
"Ternate-Kairun-June- 2013","MPHUZB","140513222048310700577124","1969","Maluku Utara - Kota Ternate","Perempuan","Orang Tua"
"Ternate-Kairun-June- 2013","UUOJCF","140513233548808285549608","1983","Sulawesi Selatan - Kabupaten Bone","Laki","Orang tua"
"Ternate-Kairun-June- 2013","YRRILZ","140513235753517122448747","1977","Maluku Utara - Kabupaten Halmahera Selatan","Laki","Orang Tua"
"Ternate-Kairun-June- 2013","EBJMFW","140514002235943320445482","","Maluku Utara - Kota Ternate","Perempuan","Orang tua"
"Ternate-Kairun-June- 2013","HLHEUG","140514005429930735200596","1976","Maluku Utara - Kabupaten Halmahera Tengah","Laki","Orang tua"
"Ternate-Kairun-June- 2013","QTIEFL","140514012228685350314433","1978","Maluku Utara - Kao","Laki","Orang Tua"
