,,,,,,,,,,,di SD dengan teman sekelas,Bahasa Indonesia
,,,,,,,,,,,di SMA dengan guru,Bahasa Indonesia
,,,,,,,,,,,di SMA dengan teman sekelas,Bahasa Indonesia
,,,,,,,,,,,di kendaraan umum,Bahasa Indonesia
,,,,,,,,,,,membaca novel/buku cerita,Bahasa Indonesia
,,,,,,,,,,,membaca koran,Bahasa Indonesia
,,,,,,,,,,,membaca majalah,"Bahasa Indonesia, Bahasa Inggris"
,,,,,,,,,,,mendengar musik,"Bahasa Indonesia, Bahasa Jawa, Bahasa Inggris, Bahasa Melayu"
,,,,,,,,,,,mendengar radio,"Bahasa Indonesia, Bahasa Inggris"
,,,,,,,,,,,menonton TV,"Bahasa Indonesia, Bahasa Inggris"
#19 5Mar UI,RSJUQA,1.30404E+23,1990,DKI Jakarta - Kota Administrasi Jakarta Pusat,Perempuan,Bahasa Betawi,Lancar,Lancar,Sedikit lancar,Sedikit lancar,dengan ibu,Bahasa Indonesia
,,,,,,Bahasa Melayu,Lancar,Sedikit lancar,Sedikit lancar,Sedikit lancar,dengan bapak,Bahasa Indonesia
,,,,,,,,,,,dengan kakak/adik,Bahasa Indonesia
,,,,,,,,,,,dengan nenek dan kakek,Bahasa Indonesia
,,,,,,,,,,,dengan suami/istri (kalau sudah menikah),
,,,,,,,,,,,"dengan sanak saudara (tante, om, sepupu, dll)",Bahasa Indonesia
,,,,,,,,,,,dengan tetangga,Bahasa Indonesia
,,,,,,,,,,,dengan pembantu,Bahasa Indonesia
,,,,,,,,,,,apabila marah,Bahasa Indonesia
,,,,,,,,,,,dalam mimpi,Bahasa Indonesia
,,,,,,,,,,,berhitung,Bahasa Indonesia
,,,,,,,,,,,kirim sms ke keluarga,Bahasa Indonesia
,,,,,,,,,,,kirim sms ke teman,Bahasa Indonesia
,,,,,,,,,,,kirim sms ke suami/istri ,
,,,,,,,,,,,dalam jejaring sosial (FB),"Bahasa Indonesia, Bahasa Inggris"
,,,,,,,,,,,berdoa dalam hati,"Bahasa Indonesia, Bahasa Arab"
,,,,,,,,,,,berdoa di tempat ibadah,"Bahasa Indonesia, Bahasa Arab"
,,,,,,,,,,,di rumah,Bahasa Indonesia
,,,,,,,,,,,di tempat kerja,Bahasa Indonesia
,,,,,,,,,,,di pasar,Bahasa Indonesia
,,,,,,,,,,,di warung,Bahasa Indonesia
,,,,,,,,,,,di bank,Bahasa Indonesia
,,,,,,,,,,,di kantor pos,Bahasa Indonesia
,,,,,,,,,,,di SD dengan guru,Bahasa Indonesia
,,,,,,,,,,,di SD dengan teman sekelas,Bahasa Indonesia
,,,,,,,,,,,di SMA dengan guru,Bahasa Indonesia
,,,,,,,,,,,di SMA dengan teman sekelas,Bahasa Indonesia
,,,,,,,,,,,di kendaraan umum,Bahasa Indonesia
,,,,,,,,,,,membaca novel/buku cerita,"Bahasa Indonesia, Bahasa Inggris"
,,,,,,,,,,,membaca koran,Bahasa Indonesia
,,,,,,,,,,,membaca majalah,Bahasa Indonesia
,,,,,,,,,,,mendengar musik,"Bahasa Indonesia, Bahasa Inggris"
,,,,,,,,,,,mendengar radio,Bahasa Indonesia
,,,,,,,,,,,menonton TV,"Bahasa Indonesia, Bahasa Inggris"
#18 5mar UI,ELVBUR,1.30404E+23,1990,DKI Jakarta - Kota Administrasi Jakarta Pusat,Perempuan,Bahasa Betawi,Lancar,Lancar,Lancar,Lancar,dengan ibu,Bahasa Indonesia
,,,,,,Bahasa Sunda,Lancar,Sedikit lancar,Sedikit lancar,Sedikit lancar,dengan bapak,Bahasa Indonesia
,,,,,,,,,,,dengan kakak/adik,Bahasa Indonesia
,,,,,,,,,,,dengan nenek dan kakek,"Bahasa Indonesia, Bahasa Sunda"
,,,,,,,,,,,dengan suami/istri (kalau sudah menikah),
,,,,,,,,,,,"dengan sanak saudara (tante, om, sepupu, dll)",Bahasa Indonesia
,,,,,,,,,,,dengan tetangga,Bahasa Indonesia
,,,,,,,,,,,dengan pembantu,Bahasa Indonesia
,,,,,,,,,,,apabila marah,"Bahasa Indonesia, Bahasa Inggris"
,,,,,,,,,,,dalam mimpi,Bahasa Indonesia
,,,,,,,,,,,berhitung,Bahasa Indonesia
,,,,,,,,,,,kirim sms ke keluarga,Bahasa Indonesia
,,,,,,,,,,,kirim sms ke teman,"Bahasa Indonesia, Bahasa Inggris"
,,,,,,,,,,,kirim sms ke suami/istri ,
,,,,,,,,,,,dalam jejaring sosial (FB),"Bahasa Indonesia, Bahasa Inggris"
,,,,,,,,,,,berdoa dalam hati,"Bahasa Indonesia, Bahasa Arab"
,,,,,,,,,,,berdoa di tempat ibadah,"Bahasa Indonesia, Bahasa Arab"
,,,,,,,,,,,di rumah,Bahasa Indonesia
,,,,,,,,,,,di tempat kerja,
